prd_id,cat_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt,dwh_create_date
377,BI_RB,BK-R89B-52,Road-250 Black- 52,1321,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
378,BI_RB,BK-R89B-52,Road-250 Black- 52,1555,Road,2013-07-01,,2025-11-17 10:54:42.81274
379,BI_RB,BK-R89B-58,Road-250 Black- 58,1321,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
380,BI_RB,BK-R89B-58,Road-250 Black- 58,1555,Road,2013-07-01,,2025-11-17 10:54:42.81274
368,BI_RB,BK-R89R-44,Road-250 Red- 44,1519,Road,2012-07-01,,2025-11-17 10:54:42.81274
369,BI_RB,BK-R89R-48,Road-250 Red- 48,1519,Road,2012-07-01,,2025-11-17 10:54:42.81274
370,BI_RB,BK-R89R-52,Road-250 Red- 52,1519,Road,2012-07-01,,2025-11-17 10:54:42.81274
371,BI_RB,BK-R89R-58,Road-250 Red- 58,1321,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
372,BI_RB,BK-R89R-58,Road-250 Red- 58,1555,Road,2013-07-01,,2025-11-17 10:54:42.81274
311,BI_RB,BK-R93R-44,Road-150 Red- 44,2171,Road,2011-07-01,,2025-11-17 10:54:42.81274
312,BI_RB,BK-R93R-48,Road-150 Red- 48,2171,Road,2011-07-01,,2025-11-17 10:54:42.81274
313,BI_RB,BK-R93R-52,Road-150 Red- 52,2171,Road,2011-07-01,,2025-11-17 10:54:42.81274
314,BI_RB,BK-R93R-56,Road-150 Red- 56,2171,Road,2011-07-01,,2025-11-17 10:54:42.81274
310,BI_RB,BK-R93R-62,Road-150 Red- 62,2171,Road,2011-07-01,,2025-11-17 10:54:42.81274
585,BI_TB,BK-T18U-44,Touring-3000 Blue- 44,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
586,BI_TB,BK-T18U-50,Touring-3000 Blue- 50,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
565,BI_TB,BK-T18U-54,Touring-3000 Blue- 54,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
566,BI_TB,BK-T18U-58,Touring-3000 Blue- 58,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
567,BI_TB,BK-T18U-62,Touring-3000 Blue- 62,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
568,BI_TB,BK-T18Y-44,Touring-3000 Yellow- 44,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
569,BI_TB,BK-T18Y-50,Touring-3000 Yellow- 50,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
570,BI_TB,BK-T18Y-54,Touring-3000 Yellow- 54,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
571,BI_TB,BK-T18Y-58,Touring-3000 Yellow- 58,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
572,BI_TB,BK-T18Y-62,Touring-3000 Yellow- 62,461,Touring,2013-07-01,,2025-11-17 10:54:42.81274
577,BI_TB,BK-T44U-46,Touring-2000 Blue- 46,755,Touring,2013-07-01,,2025-11-17 10:54:42.81274
578,BI_TB,BK-T44U-50,Touring-2000 Blue- 50,755,Touring,2013-07-01,,2025-11-17 10:54:42.81274
579,BI_TB,BK-T44U-54,Touring-2000 Blue- 54,755,Touring,2013-07-01,,2025-11-17 10:54:42.81274
560,BI_TB,BK-T44U-60,Touring-2000 Blue- 60,755,Touring,2013-07-01,,2025-11-17 10:54:42.81274
573,BI_TB,BK-T79U-46,Touring-1000 Blue- 46,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
574,BI_TB,BK-T79U-50,Touring-1000 Blue- 50,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
575,BI_TB,BK-T79U-54,Touring-1000 Blue- 54,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
576,BI_TB,BK-T79U-60,Touring-1000 Blue- 60,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
561,BI_TB,BK-T79Y-46,Touring-1000 Yellow- 46,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
562,BI_TB,BK-T79Y-50,Touring-1000 Yellow- 50,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
563,BI_TB,BK-T79Y-54,Touring-1000 Yellow- 54,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
564,BI_TB,BK-T79Y-60,Touring-1000 Yellow- 60,1482,Touring,2013-07-01,,2025-11-17 10:54:42.81274
461,CL_BS,SB-M891-L,"Men's Bib-Shorts- L",37,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
460,CL_BS,SB-M891-M,"Men's Bib-Shorts- M",37,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
459,CL_BS,SB-M891-S,"Men's Bib-Shorts- S",37,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
223,CL_CA,CA-1098,AWC Logo Cap,6,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
224,CL_CA,CA-1098,AWC Logo Cap,5,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
225,CL_CA,CA-1098,AWC Logo Cap,7,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
470,CL_GL,GL-F110-L,Full-Finger Gloves- L,16,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
469,CL_GL,GL-F110-M,Full-Finger Gloves- M,16,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
468,CL_GL,GL-F110-S,Full-Finger Gloves- S,16,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
466,CL_GL,GL-H102-L,Half-Finger Gloves- L,10,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
467,CL_GL,GL-H102-L,Half-Finger Gloves- L,9,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
464,CL_GL,GL-H102-M,Half-Finger Gloves- M,10,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
465,CL_GL,GL-H102-M,Half-Finger Gloves- M,9,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
462,CL_GL,GL-H102-S,Half-Finger Gloves- S,10,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
463,CL_GL,GL-H102-S,Half-Finger Gloves- S,9,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
232,CL_JE,LJ-0192-L,Long-Sleeve Logo Jersey- L,32,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
233,CL_JE,LJ-0192-L,Long-Sleeve Logo Jersey- L,29,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
234,CL_JE,LJ-0192-L,Long-Sleeve Logo Jersey- L,38,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
229,CL_JE,LJ-0192-M,Long-Sleeve Logo Jersey- M,32,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
230,CL_JE,LJ-0192-M,Long-Sleeve Logo Jersey- M,29,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
231,CL_JE,LJ-0192-M,Long-Sleeve Logo Jersey- M,38,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
226,CL_JE,LJ-0192-S,Long-Sleeve Logo Jersey- S,32,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
227,CL_JE,LJ-0192-S,Long-Sleeve Logo Jersey- S,29,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
228,CL_JE,LJ-0192-S,Long-Sleeve Logo Jersey- S,38,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
235,CL_JE,LJ-0192-X,Long-Sleeve Logo Jersey- XL,32,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
236,CL_JE,LJ-0192-X,Long-Sleeve Logo Jersey- XL,29,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
237,CL_JE,LJ-0192-X,Long-Sleeve Logo Jersey- XL,38,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
490,CL_JE,SJ-0194-L,Short-Sleeve Classic Jersey- L,42,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
489,CL_JE,SJ-0194-M,Short-Sleeve Classic Jersey- M,42,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
488,CL_JE,SJ-0194-S,Short-Sleeve Classic Jersey- S,42,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
491,CL_JE,SJ-0194-X,Short-Sleeve Classic Jersey- XL,42,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
454,CL_SH,SH-M897-L,"Men's Sports Shorts- L",25,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
453,CL_SH,SH-M897-M,"Men's Sports Shorts- M",25,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
445,CL_SH,SH-M897-S,"Men's Sports Shorts- S",25,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
455,CL_SH,SH-M897-X,"Men's Sports Shorts- XL",25,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
476,CL_SH,SH-W890-L,"Women's Mountain Shorts- L",26,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
475,CL_SH,SH-W890-M,"Women's Mountain Shorts- M",26,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
474,CL_SH,SH-W890-S,"Women's Mountain Shorts- S",26,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
219,CL_SO,SO-B909-L,Mountain Bike Socks- L,3,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
218,CL_SO,SO-B909-M,Mountain Bike Socks- M,3,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
482,CL_SO,SO-R809-L,Racing Socks- L,3,Road,2013-07-01,,2025-11-17 10:54:42.81274
481,CL_SO,SO-R809-M,Racing Socks- M,3,Road,2013-07-01,,2025-11-17 10:54:42.81274
458,CL_TI,TG-W091-L,"Women's Tights- L",31,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
457,CL_TI,TG-W091-M,"Women's Tights- M",31,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
456,CL_TI,TG-W091-S,"Women's Tights- S",31,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
473,CL_VE,VE-C304-L,Classic Vest- L,24,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
472,CL_VE,VE-C304-M,Classic Vest- M,24,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
471,CL_VE,VE-C304-S,Classic Vest- S,24,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
601,CO_BB,BB-7421,LL Bottom Bracket,24,n/a,2013-07-01,,2025-11-17 10:54:42.81274
602,CO_BB,BB-8107,ML Bottom Bracket,45,n/a,2013-07-01,,2025-11-17 10:54:42.81274
603,CO_BB,BB-9108,HL Bottom Bracket,54,n/a,2013-07-01,,2025-11-17 10:54:42.81274
555,CO_BR,FB-9873,Front Brakes,47,n/a,2013-07-01,,2025-11-17 10:54:42.81274
514,CO_BR,RB-9231,Rear Brakes,47,n/a,2013-07-01,,2025-11-17 10:54:42.81274
559,CO_CH,CH-0234,Chain,9,n/a,2013-07-01,,2025-11-17 10:54:42.81274
556,CO_CS,CS-4759,LL Crankset,78,n/a,2013-07-01,,2025-11-17 10:54:42.81274
557,CO_CS,CS-6583,ML Crankset,114,n/a,2013-07-01,,2025-11-17 10:54:42.81274
558,CO_CS,CS-9183,HL Crankset,180,n/a,2013-07-01,,2025-11-17 10:54:42.81274
552,CO_DE,FD-2342,Front Derailleur,41,n/a,2013-07-01,,2025-11-17 10:54:42.81274
501,CO_DE,RD-2308,Rear Derailleur,54,n/a,2013-07-01,,2025-11-17 10:54:42.81274
391,CO_FO,FK-1639,LL Fork,66,n/a,2012-07-01,,2025-11-17 10:54:42.81274
392,CO_FO,FK-5136,ML Fork,78,n/a,2012-07-01,,2025-11-17 10:54:42.81274
393,CO_FO,FK-9939,HL Fork,102,n/a,2012-07-01,,2025-11-17 10:54:42.81274
397,CO_HB,HB-M243,LL Mountain Handlebars,18,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
398,CO_HB,HB-M243,LL Mountain Handlebars,20,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
399,CO_HB,HB-M763,ML Mountain Handlebars,25,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
400,CO_HB,HB-M763,ML Mountain Handlebars,27,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
401,CO_HB,HB-M918,HL Mountain Handlebars,49,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
402,CO_HB,HB-M918,HL Mountain Handlebars,53,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
