product_key,product_id,product_number,category_id,product_name,category,subcategory,maintenance,cost,product_line,start_day
22,300,FR-M94B-48,CO_MF,HL Mountain Frame - Black- 48,Components,Mountain Frames,Yes,699,Mountain,2011-07-01
23,291,FR-M94S-44,CO_MF,HL Mountain Frame - Silver- 44,Components,Mountain Frames,Yes,707,Mountain,2011-07-01
24,292,FR-M94S-52,CO_MF,HL Mountain Frame - Silver- 48,Components,Mountain Frames,Yes,707,Mountain,2011-07-01
25,274,FR-R72R-44,CO_RF,ML Road Frame - Red- 44,Components,Road Frames,Yes,352,Road,2011-07-01
26,275,FR-R72R-48,CO_RF,ML Road Frame - Red- 48,Components,Road Frames,Yes,352,Road,2011-07-01
27,276,FR-R72R-52,CO_RF,ML Road Frame - Red- 52,Components,Road Frames,Yes,352,Road,2011-07-01
28,277,FR-R72R-58,CO_RF,ML Road Frame - Red- 58,Components,Road Frames,Yes,352,Road,2011-07-01
29,278,FR-R72R-60,CO_RF,ML Road Frame - Red- 60,Components,Road Frames,Yes,352,Road,2011-07-01
30,219,SO-B909-L,CL_SO,Mountain Bike Socks- L,Clothing,Socks,No,3,Mountain,2011-07-01
31,218,SO-B909-M,CL_SO,Mountain Bike Socks- M,Clothing,Socks,No,3,Mountain,2011-07-01
32,364,BK-M47B-38,BI_MB,Mountain-300 Black- 38,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01
33,365,BK-M47B-40,BI_MB,Mountain-300 Black- 40,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01
34,366,BK-M47B-44,BI_MB,Mountain-300 Black- 44,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01
35,367,BK-M47B-48,BI_MB,Mountain-300 Black- 48,Bikes,Mountain Bikes,Yes,598,Mountain,2012-07-01
36,339,BK-R50B-44,BI_RB,Road-650 Black- 44,Bikes,Road Bikes,Yes,487,Road,2012-07-01
37,341,BK-R50B-48,BI_RB,Road-650 Black- 48,Bikes,Road Bikes,Yes,487,Road,2012-07-01
38,343,BK-R50B-52,BI_RB,Road-650 Black- 52,Bikes,Road Bikes,Yes,487,Road,2012-07-01
39,333,BK-R50B-58,BI_RB,Road-650 Black- 58,Bikes,Road Bikes,Yes,487,Road,2012-07-01
40,335,BK-R50B-60,BI_RB,Road-650 Black- 60,Bikes,Road Bikes,Yes,487,Road,2012-07-01
41,337,BK-R50B-62,BI_RB,Road-650 Black- 62,Bikes,Road Bikes,Yes,487,Road,2012-07-01
42,327,BK-R50R-44,BI_RB,Road-650 Red- 44,Bikes,Road Bikes,Yes,487,Road,2012-07-01
43,329,BK-R50R-48,BI_RB,Road-650 Red- 48,Bikes,Road Bikes,Yes,487,Road,2012-07-01
44,331,BK-R50R-52,BI_RB,Road-650 Red- 52,Bikes,Road Bikes,Yes,487,Road,2012-07-01
45,321,BK-R50R-58,BI_RB,Road-650 Red- 58,Bikes,Road Bikes,Yes,487,Road,2012-07-01
46,323,BK-R50R-60,BI_RB,Road-650 Red- 60,Bikes,Road Bikes,Yes,487,Road,2012-07-01
47,325,BK-R50R-62,BI_RB,Road-650 Red- 62,Bikes,Road Bikes,Yes,487,Road,2012-07-01
48,368,BK-R89R-44,BI_RB,Road-250 Red- 44,Bikes,Road Bikes,Yes,1519,Road,2012-07-01
49,369,BK-R89R-48,BI_RB,Road-250 Red- 48,Bikes,Road Bikes,Yes,1519,Road,2012-07-01
50,370,BK-R89R-52,BI_RB,Road-250 Red- 52,Bikes,Road Bikes,Yes,1519,Road,2012-07-01
51,391,FK-1639,CO_FO,LL Fork,Components,Forks,Yes,66,n/a,2012-07-01
52,392,FK-5136,CO_FO,ML Fork,Components,Forks,Yes,78,n/a,2012-07-01
53,393,FK-9939,CO_FO,HL Fork,Components,Forks,Yes,102,n/a,2012-07-01
54,409,FR-M63B-38,CO_MF,ML Mountain Frame - Black- 38,Components,Mountain Frames,Yes,186,Mountain,2012-07-01
55,426,FR-M63B-40,CO_MF,ML Mountain Frame - Black- 40,Components,Mountain Frames,Yes,186,Mountain,2012-07-01
56,427,FR-M63B-44,CO_MF,ML Mountain Frame - Black- 44,Components,Mountain Frames,Yes,186,Mountain,2012-07-01
57,428,FR-M63B-48,CO_MF,ML Mountain Frame - Black- 48,Components,Mountain Frames,Yes,186,Mountain,2012-07-01
58,263,FR-R38R-44,CO_RF,LL Road Frame - Red- 44,Components,Road Frames,Yes,187,Road,2012-07-01
59,265,FR-R38R-48,CO_RF,LL Road Frame - Red- 48,Components,Road Frames,Yes,187,Road,2012-07-01
60,267,FR-R38R-52,CO_RF,LL Road Frame - Red- 52,Components,Road Frames,Yes,187,Road,2012-07-01
61,269,FR-R38R-58,CO_RF,LL Road Frame - Red- 58,Components,Road Frames,Yes,187,Road,2012-07-01
62,271,FR-R38R-60,CO_RF,LL Road Frame - Red- 60,Components,Road Frames,Yes,187,Road,2012-07-01
63,273,FR-R38R-62,CO_RF,LL Road Frame - Red- 62,Components,Road Frames,Yes,187,Road,2012-07-01
64,410,FW-M423,CO_WH,LL Mountain Front Wheel,Components,Wheels,Yes,27,Mountain,2012-07-01
65,411,FW-M762,CO_WH,ML Mountain Front Wheel,Components,Wheels,Yes,93,Mountain,2012-07-01
66,412,FW-M928,CO_WH,HL Mountain Front Wheel,Components,Wheels,Yes,133,Mountain,2012-07-01
67,413,FW-R623,CO_WH,LL Road Front Wheel,Components,Wheels,Yes,38,Road,2012-07-01
68,414,FW-R762,CO_WH,ML Road Front Wheel,Components,Wheels,Yes,110,Road,2012-07-01
69,415,FW-R820,CO_WH,HL Road Front Wheel,Components,Wheels,Yes,147,Road,2012-07-01
70,416,FW-T905,CO_WH,Touring Front Wheel,Components,Wheels,Yes,97,Touring,2012-07-01
71,470,GL-F110-L,CL_GL,Full-Finger Gloves- L,Clothing,Gloves,No,16,Mountain,2012-07-01
72,469,GL-F110-M,CL_GL,Full-Finger Gloves- M,Clothing,Gloves,No,16,Mountain,2012-07-01
73,468,GL-F110-S,CL_GL,Full-Finger Gloves- S,Clothing,Gloves,No,16,Mountain,2012-07-01
74,394,HS-0296,CO_HS,LL Headset,Components,Headsets,No,15,n/a,2012-07-01
75,395,HS-2451,CO_HS,ML Headset,Components,Headsets,No,45,n/a,2012-07-01
76,396,HS-3479,CO_HS,HL Headset,Components,Headsets,No,55,n/a,2012-07-01
77,447,LO-C100,AC_LO,Cable Lock,Accessories,Locks,Yes,10,Other Sales,2012-07-01
78,451,LT-H902,AC_LI,Headlights - Dual-Beam,Accessories,Lights,Yes,14,Road,2012-07-01
79,452,LT-H903,AC_LI,Headlights - Weatherproof,Accessories,Lights,Yes,19,Road,2012-07-01
80,450,LT-T990,AC_LI,Taillights - Battery-Powered,Accessories,Lights,Yes,6,Road,2012-07-01
81,446,PA-T100,AC_PA,Touring-Panniers- Large,Accessories,Panniers,No,52,Touring,2012-07-01
82,448,PU-0452,AC_PU,Minipump,Accessories,Pumps,Yes,8,Other Sales,2012-07-01
83,449,PU-M044,AC_PU,Mountain Pump,Accessories,Pumps,Yes,10,Mountain,2012-07-01
84,419,RW-M423,CO_WH,LL Mountain Rear Wheel,Components,Wheels,Yes,39,Mountain,2012-07-01
85,420,RW-M762,CO_WH,ML Mountain Rear Wheel,Components,Wheels,Yes,105,Mountain,2012-07-01
86,421,RW-M928,CO_WH,HL Mountain Rear Wheel,Components,Wheels,Yes,145,Mountain,2012-07-01
87,422,RW-R623,CO_WH,LL Road Rear Wheel,Components,Wheels,Yes,50,Road,2012-07-01
88,423,RW-R762,CO_WH,ML Road Rear Wheel,Components,Wheels,Yes,122,Road,2012-07-01
89,424,RW-R820,CO_WH,HL Road Rear Wheel,Components,Wheels,Yes,159,Road,2012-07-01
90,425,RW-T905,CO_WH,Touring Rear Wheel,Components,Wheels,Yes,109,Touring,2012-07-01
91,461,SB-M891-L,CL_BS,"Men's Bib-Shorts- L",Clothing,Bib-Shorts,No,37,Other Sales,2012-07-01
92,460,SB-M891-M,CL_BS,"Men's Bib-Shorts- M",Clothing,Bib-Shorts,No,37,Other Sales,2012-07-01
93,459,SB-M891-S,CL_BS,"Men's Bib-Shorts- S",Clothing,Bib-Shorts,No,37,Other Sales,2012-07-01
94,454,SH-M897-L,CL_SH,"Men's Sports Shorts- L",Clothing,Shorts,No,25,Other Sales,2012-07-01
95,453,SH-M897-M,CL_SH,"Men's Sports Shorts- M",Clothing,Shorts,No,25,Other Sales,2012-07-01
96,445,SH-M897-S,CL_SH,"Men's Sports Shorts- S",Clothing,Shorts,No,25,Other Sales,2012-07-01
97,455,SH-M897-X,CL_SH,"Men's Sports Shorts- XL",Clothing,Shorts,No,25,Other Sales,2012-07-01
98,458,TG-W091-L,CL_TI,"Women's Tights- L",Clothing,Tights,No,31,Other Sales,2012-07-01
99,457,TG-W091-M,CL_TI,"Women's Tights- M",Clothing,Tights,No,31,Other Sales,2012-07-01
100,456,TG-W091-S,CL_TI,"Women's Tights- S",Clothing,Tights,No,31,Other Sales,2012-07-01
101,601,BB-7421,CO_BB,LL Bottom Bracket,Components,Bottom Brackets,Yes,24,n/a,2013-07-01
102,602,BB-8107,CO_BB,ML Bottom Bracket,Components,Bottom Brackets,Yes,45,n/a,2013-07-01
103,603,BB-9108,CO_BB,HL Bottom Bracket,Components,Bottom Brackets,Yes,54,n/a,2013-07-01
104,478,BC-M005,AC_BC,Mountain Bottle Cage,Accessories,Bottles and Cages,No,4,Mountain,2013-07-01
105,479,BC-R205,AC_BC,Road Bottle Cage,Accessories,Bottles and Cages,No,3,Road,2013-07-01
106,596,BK-M18B-40,BI_MB,Mountain-500 Black- 40,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01
107,597,BK-M18B-42,BI_MB,Mountain-500 Black- 42,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01
108,598,BK-M18B-44,BI_MB,Mountain-500 Black- 44,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01
109,599,BK-M18B-48,BI_MB,Mountain-500 Black- 48,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01
110,600,BK-M18B-52,BI_MB,Mountain-500 Black- 52,Bikes,Mountain Bikes,Yes,295,Mountain,2013-07-01
111,591,BK-M18S-40,BI_MB,Mountain-500 Silver- 40,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
112,592,BK-M18S-42,BI_MB,Mountain-500 Silver- 42,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
113,593,BK-M18S-44,BI_MB,Mountain-500 Silver- 44,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
114,594,BK-M18S-48,BI_MB,Mountain-500 Silver- 48,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
115,595,BK-M18S-52,BI_MB,Mountain-500 Silver- 52,Bikes,Mountain Bikes,Yes,308,Mountain,2013-07-01
116,587,BK-M38S-38,BI_MB,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
117,588,BK-M38S-40,BI_MB,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
118,589,BK-M38S-42,BI_MB,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
119,590,BK-M38S-46,BI_MB,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,Yes,420,Mountain,2013-07-01
120,359,BK-M68B-38,BI_MB,Mountain-200 Black- 38,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01
121,361,BK-M68B-42,BI_MB,Mountain-200 Black- 42,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01
122,363,BK-M68B-46,BI_MB,Mountain-200 Black- 46,Bikes,Mountain Bikes,Yes,1252,Mountain,2013-07-01
123,353,BK-M68S-38,BI_MB,Mountain-200 Silver- 38,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01
124,355,BK-M68S-42,BI_MB,Mountain-200 Silver- 42,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01
125,357,BK-M68S-46,BI_MB,Mountain-200 Silver- 46,Bikes,Mountain Bikes,Yes,1266,Mountain,2013-07-01
126,604,BK-R19B-44,BI_RB,Road-750 Black- 44,Bikes,Road Bikes,Yes,344,Road,2013-07-01
127,605,BK-R19B-48,BI_RB,Road-750 Black- 48,Bikes,Road Bikes,Yes,344,Road,2013-07-01
128,606,BK-R19B-52,BI_RB,Road-750 Black- 52,Bikes,Road Bikes,Yes,344,Road,2013-07-01
129,584,BK-R19B-58,BI_RB,Road-750 Black- 58,Bikes,Road Bikes,Yes,344,Road,2013-07-01
130,382,BK-R64Y-38,BI_RB,Road-550-W Yellow- 38,Bikes,Road Bikes,Yes,713,Road,2013-07-01
131,384,BK-R64Y-40,BI_RB,Road-550-W Yellow- 40,Bikes,Road Bikes,Yes,713,Road,2013-07-01
132,386,BK-R64Y-42,BI_RB,Road-550-W Yellow- 42,Bikes,Road Bikes,Yes,713,Road,2013-07-01
133,388,BK-R64Y-44,BI_RB,Road-550-W Yellow- 44,Bikes,Road Bikes,Yes,713,Road,2013-07-01
134,390,BK-R64Y-48,BI_RB,Road-550-W Yellow- 48,Bikes,Road Bikes,Yes,713,Road,2013-07-01
135,580,BK-R79Y-40,BI_RB,Road-350-W Yellow- 40,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
136,581,BK-R79Y-42,BI_RB,Road-350-W Yellow- 42,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
137,582,BK-R79Y-44,BI_RB,Road-350-W Yellow- 44,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
138,583,BK-R79Y-48,BI_RB,Road-350-W Yellow- 48,Bikes,Road Bikes,Yes,1083,Road,2013-07-01
139,374,BK-R89B-44,BI_RB,Road-250 Black- 44,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
140,376,BK-R89B-48,BI_RB,Road-250 Black- 48,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
141,378,BK-R89B-52,BI_RB,Road-250 Black- 52,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
142,380,BK-R89B-58,BI_RB,Road-250 Black- 58,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
143,372,BK-R89R-58,BI_RB,Road-250 Red- 58,Bikes,Road Bikes,Yes,1555,Road,2013-07-01
144,585,BK-T18U-44,BI_TB,Touring-3000 Blue- 44,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
145,586,BK-T18U-50,BI_TB,Touring-3000 Blue- 50,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
146,565,BK-T18U-54,BI_TB,Touring-3000 Blue- 54,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
147,566,BK-T18U-58,BI_TB,Touring-3000 Blue- 58,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
148,567,BK-T18U-62,BI_TB,Touring-3000 Blue- 62,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
149,568,BK-T18Y-44,BI_TB,Touring-3000 Yellow- 44,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
150,569,BK-T18Y-50,BI_TB,Touring-3000 Yellow- 50,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
151,570,BK-T18Y-54,BI_TB,Touring-3000 Yellow- 54,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
152,571,BK-T18Y-58,BI_TB,Touring-3000 Yellow- 58,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
153,572,BK-T18Y-62,BI_TB,Touring-3000 Yellow- 62,Bikes,Touring Bikes,Yes,461,Touring,2013-07-01
154,577,BK-T44U-46,BI_TB,Touring-2000 Blue- 46,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
155,578,BK-T44U-50,BI_TB,Touring-2000 Blue- 50,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
156,579,BK-T44U-54,BI_TB,Touring-2000 Blue- 54,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
157,560,BK-T44U-60,BI_TB,Touring-2000 Blue- 60,Bikes,Touring Bikes,Yes,755,Touring,2013-07-01
158,573,BK-T79U-46,BI_TB,Touring-1000 Blue- 46,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
159,574,BK-T79U-50,BI_TB,Touring-1000 Blue- 50,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
160,575,BK-T79U-54,BI_TB,Touring-1000 Blue- 54,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
161,576,BK-T79U-60,BI_TB,Touring-1000 Blue- 60,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
162,561,BK-T79Y-46,BI_TB,Touring-1000 Yellow- 46,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
163,562,BK-T79Y-50,BI_TB,Touring-1000 Yellow- 50,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
164,563,BK-T79Y-54,BI_TB,Touring-1000 Yellow- 54,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
165,564,BK-T79Y-60,BI_TB,Touring-1000 Yellow- 60,Bikes,Touring Bikes,Yes,1482,Touring,2013-07-01
166,225,CA-1098,CL_CA,AWC Logo Cap,Clothing,Caps,No,7,Other Sales,2013-07-01
167,559,CH-0234,CO_CH,Chain,Components,Chains,Yes,9,n/a,2013-07-01
168,484,CL-9009,AC_CL,Bike Wash - Dissolver,Accessories,Cleaners,Yes,3,Other Sales,2013-07-01
169,556,CS-4759,CO_CS,LL Crankset,Components,Cranksets,Yes,78,n/a,2013-07-01
170,557,CS-6583,CO_CS,ML Crankset,Components,Cranksets,Yes,114,n/a,2013-07-01
171,558,CS-9183,CO_CS,HL Crankset,Components,Cranksets,Yes,180,n/a,2013-07-01
172,555,FB-9873,CO_BR,Front Brakes,Components,Brakes,Yes,47,n/a,2013-07-01
173,552,FD-2342,CO_DE,Front Derailleur,Components,Derailleurs,Yes,41,n/a,2013-07-01
174,485,FE-6654,AC_FE,Fender Set - Mountain,Accessories,Fenders,No,8,Mountain,2013-07-01
175,550,FR-M21B-40,CO_MF,LL Mountain Frame - Black- 40,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
176,531,FR-M21B-42,CO_MF,LL Mountain Frame - Black- 42,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
177,532,FR-M21B-44,CO_MF,LL Mountain Frame - Black- 44,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
178,533,FR-M21B-48,CO_MF,LL Mountain Frame - Black- 48,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
179,534,FR-M21B-52,CO_MF,LL Mountain Frame - Black- 52,Components,Mountain Frames,Yes,137,Mountain,2013-07-01
180,551,FR-M21S-40,CO_MF,LL Mountain Frame - Silver- 40,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
181,524,FR-M21S-42,CO_MF,LL Mountain Frame - Silver- 42,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
182,525,FR-M21S-44,CO_MF,LL Mountain Frame - Silver- 44,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
183,526,FR-M21S-48,CO_MF,LL Mountain Frame - Silver- 48,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
184,527,FR-M21S-52,CO_MF,LL Mountain Frame - Silver- 52,Components,Mountain Frames,Yes,145,Mountain,2013-07-01
185,549,FR-M63S-38,CO_MF,ML Mountain Frame-W - Silver- 38,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
186,511,FR-M63S-40,CO_MF,ML Mountain Frame-W - Silver- 40,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
187,512,FR-M63S-42,CO_MF,ML Mountain Frame-W - Silver- 42,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
188,513,FR-M63S-46,CO_MF,ML Mountain Frame-W - Silver- 46,Components,Mountain Frames,Yes,199,Mountain,2013-07-01
189,306,FR-M94B-38,CO_MF,HL Mountain Frame - Black- 38,Components,Mountain Frames,Yes,739,Mountain,2013-07-01
190,298,FR-M94B-42,CO_MF,HL Mountain Frame - Black- 42,Components,Mountain Frames,Yes,739,Mountain,2013-07-01
191,303,FR-M94B-46,CO_MF,HL Mountain Frame - Black- 46,Components,Mountain Frames,Yes,739,Mountain,2013-07-01
192,309,FR-M94S-38,CO_MF,HL Mountain Frame - Silver- 38,Components,Mountain Frames,Yes,747,Mountain,2013-07-01
193,290,FR-M94S-42,CO_MF,HL Mountain Frame - Silver- 42,Components,Mountain Frames,Yes,747,Mountain,2013-07-01
194,295,FR-M94S-46,CO_MF,HL Mountain Frame - Silver- 46,Components,Mountain Frames,Yes,747,Mountain,2013-07-01
195,281,FR-R38B-44,CO_RF,LL Road Frame - Black- 44,Components,Road Frames,Yes,205,Road,2013-07-01
196,284,FR-R38B-48,CO_RF,LL Road Frame - Black- 48,Components,Road Frames,Yes,205,Road,2013-07-01
197,287,FR-R38B-52,CO_RF,LL Road Frame - Black- 52,Components,Road Frames,Yes,205,Road,2013-07-01
198,255,FR-R38B-58,CO_RF,LL Road Frame - Black- 58,Components,Road Frames,Yes,205,Road,2013-07-01
199,258,FR-R38B-60,CO_RF,LL Road Frame - Black- 60,Components,Road Frames,Yes,205,Road,2013-07-01
200,261,FR-R38B-62,CO_RF,LL Road Frame - Black- 62,Components,Road Frames,Yes,205,Road,2013-07-01
201,418,FR-R72Y-38,CO_RF,ML Road Frame-W - Yellow- 38,Components,Road Frames,Yes,361,Road,2013-07-01
202,430,FR-R72Y-40,CO_RF,ML Road Frame-W - Yellow- 40,Components,Road Frames,Yes,361,Road,2013-07-01
203,432,FR-R72Y-42,CO_RF,ML Road Frame-W - Yellow- 42,Components,Road Frames,Yes,361,Road,2013-07-01
204,434,FR-R72Y-44,CO_RF,ML Road Frame-W - Yellow- 44,Components,Road Frames,Yes,361,Road,2013-07-01
205,436,FR-R72Y-48,CO_RF,ML Road Frame-W - Yellow- 48,Components,Road Frames,Yes,361,Road,2013-07-01
206,440,FR-R92B-44,CO_RF,HL Road Frame - Black- 44,Components,Road Frames,Yes,869,Road,2013-07-01
207,442,FR-R92B-48,CO_RF,HL Road Frame - Black- 48,Components,Road Frames,Yes,869,Road,2013-07-01
208,444,FR-R92B-52,CO_RF,HL Road Frame - Black- 52,Components,Road Frames,Yes,869,Road,2013-07-01
209,438,FR-R92B-62,CO_RF,HL Road Frame - Black- 62,Components,Road Frames,Yes,869,Road,2013-07-01
210,243,FR-R92R-44,CO_RF,HL Road Frame - Red- 44,Components,Road Frames,Yes,869,Road,2013-07-01
211,246,FR-R92R-48,CO_RF,HL Road Frame - Red- 48,Components,Road Frames,Yes,869,Road,2013-07-01
212,249,FR-R92R-52,CO_RF,HL Road Frame - Red- 52,Components,Road Frames,Yes,869,Road,2013-07-01
213,252,FR-R92R-56,CO_RF,HL Road Frame - Red- 56,Components,Road Frames,Yes,869,Road,2013-07-01
214,240,FR-R92R-62,CO_RF,HL Road Frame - Red- 62,Components,Road Frames,Yes,869,Road,2013-07-01
215,510,FR-T67U-44,CO_TF,LL Touring Frame - Blue- 44,Components,Touring Frames,Yes,200,Touring,2013-07-01
216,502,FR-T67U-50,CO_TF,LL Touring Frame - Blue- 50,Components,Touring Frames,Yes,200,Touring,2013-07-01
217,503,FR-T67U-54,CO_TF,LL Touring Frame - Blue- 54,Components,Touring Frames,Yes,200,Touring,2013-07-01
218,504,FR-T67U-58,CO_TF,LL Touring Frame - Blue- 58,Components,Touring Frames,Yes,200,Touring,2013-07-01
219,505,FR-T67U-62,CO_TF,LL Touring Frame - Blue- 62,Components,Touring Frames,Yes,200,Touring,2013-07-01
220,506,FR-T67Y-44,CO_TF,LL Touring Frame - Yellow- 44,Components,Touring Frames,Yes,200,Touring,2013-07-01
221,507,FR-T67Y-50,CO_TF,LL Touring Frame - Yellow- 50,Components,Touring Frames,Yes,200,Touring,2013-07-01
222,508,FR-T67Y-54,CO_TF,LL Touring Frame - Yellow- 54,Components,Touring Frames,Yes,200,Touring,2013-07-01
223,509,FR-T67Y-58,CO_TF,LL Touring Frame - Yellow- 58,Components,Touring Frames,Yes,200,Touring,2013-07-01
224,493,FR-T67Y-62,CO_TF,LL Touring Frame - Yellow- 62,Components,Touring Frames,Yes,200,Touring,2013-07-01
225,497,FR-T98U-46,CO_TF,HL Touring Frame - Blue- 46,Components,Touring Frames,Yes,602,Touring,2013-07-01
226,498,FR-T98U-50,CO_TF,HL Touring Frame - Blue- 50,Components,Touring Frames,Yes,602,Touring,2013-07-01
227,499,FR-T98U-54,CO_TF,HL Touring Frame - Blue- 54,Components,Touring Frames,Yes,602,Touring,2013-07-01
228,500,FR-T98U-60,CO_TF,HL Touring Frame - Blue- 60,Components,Touring Frames,Yes,602,Touring,2013-07-01
229,494,FR-T98Y-46,CO_TF,HL Touring Frame - Yellow- 46,Components,Touring Frames,Yes,602,Touring,2013-07-01
230,495,FR-T98Y-50,CO_TF,HL Touring Frame - Yellow- 50,Components,Touring Frames,Yes,602,Touring,2013-07-01
231,496,FR-T98Y-54,CO_TF,HL Touring Frame - Yellow- 54,Components,Touring Frames,Yes,602,Touring,2013-07-01
